locality,Year,house_price
GEELONG WEST,2019,675000.00
GEMBROOK,2019,650000.00
GISBORNE,2019,730000.00
GLADSTONE PARK,2019,636500.00
GLEN HUNTLY,2019,1380000.00
GLEN IRIS,2019,1929500.00
GLEN WAVERLEY,2019,1270000.00
GLENGARRY,2019,324000.00
GLENROWAN,2019,372500.00
GLENROY,2019,700000.00
GOLDEN BEACH,2019,220000.00
GOLDEN POINT (BALLARAT),2019,370000.00
GOLDEN SQUARE,2019,340000.00
GORDON,2019,495000.00
GOUGHS BAY,2019,299500.00
GOWANBRAE,2019,700500.00
GRANTVILLE,2019,397500.00
GREEN LAKE,2019,290000.00
GREENSBOROUGH,2019,797500.00
GREENVALE,2019,715000.00
GROVEDALE,2019,505000.00
HADFIELD,2019,727500.00
HALLAM,2019,560000.00
HALLS GAP,2019,310000.00
HAMILTON,2019,208500.00
HAMLYN HEIGHTS,2019,540000.00
HAMPTON,2019,1896000.00
HAMPTON EAST,2019,1195000.00
HAMPTON PARK,2019,502000.00
HARKNESS,2019,475000.00
HASTINGS,2019,506000.00
HASTINGS WEST,2019,430000.00
HAWTHORN,2019,2195500.00
HAWTHORN EAST,2019,2050000.00
HEALESVILLE,2019,579500.00
HEATHCOTE,2019,332500.00
HEATHERTON,2019,965000.00
HEATHMONT,2019,871000.00
HEIDELBERG,2019,1122500.00
HEIDELBERG HEIGHTS,2019,777500.00
HEIDELBERG WEST,2019,665000.00
HEPBURN,2019,452500.00
HEPBURN SPRINGS,2019,595000.00
HERNE HILL,2019,534000.00
HEYFIELD,2019,195000.00
HEYWOOD,2019,178000.00
HIGHETT,2019,1229500.00
HIGHTON,2019,690000.00
HILLSIDE (MELTON),2019,642000.00
HOPETOUN,2019,66000.00
HOPPERS CROSSING,2019,528500.00
HORSHAM,2019,269000.00
HUGHESDALE,2019,1150500.00
HUNTINGDALE,2019,914000.00
HUNTLY,2019,367500.00
HURSTBRIDGE,2019,700000.00
INDENTED HEAD,2019,606000.00
INGLEWOOD,2019,185000.00
INVERLEIGH,2019,503000.00
INVERLOCH,2019,592500.00
INVERMAY PARK,2019,475000.00
