Country,Regional indicator,Ladderscore,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Index_corruption ,corruptionindex_10
Croatia,Central and Eastern Europe,5.5,0.037783645,5.578756332,5.430644035,10.07,0.875,70.215,0.714838803,-0.128538325,0.916495264,91.65
Libya,Middle East and North Africa,5.49,0.060677204,5.607727528,5.36987257,9.79,0.826,62.300,0.773157001,-0.085054487,0.668779135,66.88
Mongolia,East Asia,5.46,0.040313236,5.535213947,5.377186298,9.41,0.937,62.304,0.693351328,0.098093867,0.863511205,86.35
Malaysia,Southeast Asia,5.38,0.048802696,5.479953289,5.288647175,10.26,0.817,67.102,0.894626856,0.114726797,0.839302301,83.93
Vietnam,Southeast Asia,5.35,0.033800762,5.41974926,5.287250519,8.81,0.850,67.953,0.939592957,-0.094533332,0.79642123,79.64
Indonesia,Southeast Asia,5.29,0.047692381,5.379077435,5.192122936,9.37,0.808,62.156,0.870614409,0.519586504,0.876296401,87.63
Ivory Coast,Sub-Saharan Africa,5.23,0.073095515,5.376567364,5.090033054,8.23,0.658,49.504,0.727909327,-0.043991156,0.790771961,79.08
Benin,Sub-Saharan Africa,5.22,0.077759244,5.368408203,5.063591957,7.67,0.469,54.312,0.735182583,-0.003537213,0.740532577,74.05
Maldives,South Asia,5.2,0.071985401,5.338691235,5.056508541,9.52,0.913,70.600,0.853962779,0.038085498,0.824211061,82.42
Congo (Brazzaville),Sub-Saharan Africa,5.19,0.077028967,5.345376492,5.043423176,8.54,0.640,57.924,0.719058514,-0.123674095,0.751779079,75.18
Azerbaijan,Commonwealth of Independent States,5.16,0.034197241,5.231826782,5.097773552,9.69,0.819,65.508,0.786824107,-0.240255281,0.55253756,55.25
Macedonia,Central and Eastern Europe,5.16,0.046761535,5.251452446,5.068147659,9.51,0.820,67.504,0.738840938,-0.019877451,0.897490501,89.75
Ghana,Sub-Saharan Africa,5.15,0.058634609,5.262923717,5.033075809,8.35,0.729,57.204,0.794796526,0.094170853,0.847964764,84.80
Nepal,South Asia,5.14,0.057692084,5.250276566,5.024123192,7.93,0.786,63.779,0.797565043,0.154168829,0.738099158,73.81
Turkey,Middle East and North Africa,5.13,0.039838459,5.20988369,5.05371666,10.13,0.826,66.903,0.608830452,-0.171046436,0.748197377,74.82
China,East Asia,5.12,0.025901664,5.174667358,5.073132515,9.69,0.799,69.289,0.898517907,-0.18142575,0.7539711,75.40
Turkmenistan,Commonwealth of Independent States,5.12,0.029379817,5.17668438,5.061515808,9.75,0.959,62.212,0.826457024,0.187671542,0.883691847,88.37
Bulgaria,Central and Eastern Europe,5.1,0.04422117,5.188173294,5.014826775,9.87,0.938,66.804,0.745178163,-0.143908441,0.935585141,93.56
Morocco,Middle East and North Africa,5.09,0.05565045,5.203875065,4.985724926,8.94,0.593,65.896,0.772072434,-0.240377247,0.815724611,81.57
Cameroon,Sub-Saharan Africa,5.08,0.067296073,5.216800213,4.952999592,8.12,0.700,52.705,0.763051808,-0.00149645,0.851336598,85.13
Venezuela,Latin America and Caribbean,5.05,0.06428051,5.179189682,4.927209854,8.98,0.890,66.505,0.62327832,-0.169090509,0.837038398,83.70
Algeria,Middle East and North Africa,5.01,0.044236008,5.09180212,4.918397427,9.54,0.803,65.905,0.466610909,-0.121105164,0.735485137,73.55
Senegal,Sub-Saharan Africa,4.98,0.05276908,5.084227562,4.877372742,8.12,0.724,59.599,0.690596163,-0.052335154,0.808785141,80.88
Guinea,Sub-Saharan Africa,4.95,0.073042229,5.09246254,4.806137085,7.75,0.638,54.468,0.706846774,0.076328471,0.761794448,76.18
Niger,Sub-Saharan Africa,4.91,0.077208281,5.060927868,4.758271694,6.84,0.617,53.500,0.759772122,0.013860817,0.722530186,72.25
Laos,Southeast Asia,4.89,0.040268615,4.967526436,4.809673309,8.80,0.738,58.710,0.907213569,0.11137148,0.634679317,63.47
Albania,Central and Eastern Europe,4.88,0.056115732,4.992686749,4.772713184,9.42,0.671,68.708,0.781994224,-0.042309489,0.896303713,89.63
Cambodia,Southeast Asia,4.85,0.058006871,4.962093353,4.734706879,8.25,0.773,61.530,0.959704638,0.051911179,0.822769046,82.28
Bangladesh,South Asia,4.83,0.040124193,4.911443233,4.75415659,8.29,0.687,64.503,0.90062499,-0.033664726,0.661843538,66.18
Gabon,Sub-Saharan Africa,4.83,0.060268242,4.947425842,4.711174011,9.68,0.788,59.715,0.704829216,-0.222261623,0.849150956,84.92
South Africa,Sub-Saharan Africa,4.81,0.060023591,4.931746006,4.696453571,9.40,0.853,56.506,0.759330094,-0.109777324,0.843423843,84.34
Iraq,Middle East and North Africa,4.78,0.077791877,4.937272072,4.632328033,9.66,0.748,59.904,0.633182645,-0.06956476,0.82226181,82.23
Lebanon,Middle East and North Africa,4.77,0.043753985,4.857257843,4.685742378,9.36,0.824,67.107,0.551357508,-0.06121527,0.90225625,90.23
Burkina Faso,Sub-Saharan Africa,4.77,0.062067267,4.890351772,4.647048473,7.47,0.713,53.889,0.665563583,-0.019080516,0.739795029,73.98
Gambia,Sub-Saharan Africa,4.75,0.067163654,4.882240772,4.61895895,7.32,0.693,55.012,0.733163178,0.343198717,0.690717816,69.07
